Dataset,Feature,# of data points,# non-constant descriptors,Fisher Separability ID
CHEMBL1945,embed,803,16,2.673019813509446
CHEMBL1945,mfp_r2_1024,803,921,7.4163318417173745
CHEMBL1945,maccs_keys,803,136,6.714548537853544
CHEMBL1946,embed,481,16,2.7307102399844507
CHEMBL1946,mfp_r2_1024,481,751,6.61044540826516
CHEMBL1946,maccs_keys,481,122,5.759186437313834
CHEMBL1947,embed,290,16,2.4664214841023764
CHEMBL1947,mfp_r2_1024,290,760,6.158700335660518
CHEMBL1947,maccs_keys,290,134,4.171825182444934
CHEMBL1951,embed,1778,16,2.707059594893235
CHEMBL1951,mfp_r2_1024,1778,1019,8.422690772867785
CHEMBL1951,maccs_keys,1778,145,6.353058077348947
CHEMBL1952,embed,274,16,2.8922552901011134
CHEMBL1952,mfp_r2_1024,274,774,7.254990334242478
CHEMBL1952,maccs_keys,274,135,4.402583481995043
CHEMBL1955,embed,424,16,3.4797737031196405
CHEMBL1955,mfp_r2_1024,424,993,8.456996712529122
CHEMBL1955,maccs_keys,424,140,6.257878368778005
CHEMBL1957,embed,1472,16,3.6978548757517338
CHEMBL1957,mfp_r2_1024,1472,1018,8.015817645183951
CHEMBL1957,maccs_keys,1472,145,6.299832917594212
CHEMBL1966,embed,674,16,3.0472230143803665
CHEMBL1966,mfp_r2_1024,674,918,8.229582972445701
CHEMBL1966,maccs_keys,674,137,6.071314237026687
CHEMBL1974,embed,1891,16,2.795929528961407
CHEMBL1974,mfp_r2_1024,1891,1023,8.257447617594314
CHEMBL1974,maccs_keys,1891,146,7.160202819249483
CHEMBL1977,embed,284,16,1.623932086163156
CHEMBL1977,mfp_r2_1024,284,803,5.893954334151669
CHEMBL1977,maccs_keys,284,141,3.509989908040237
CHEMBL1978,embed,1283,16,1.743702443014517
CHEMBL1978,mfp_r2_1024,1283,1018,7.5890941935503955
CHEMBL1978,maccs_keys,1283,142,5.212441460299555
CHEMBL1980,embed,434,16,2.519865240352129
CHEMBL1980,mfp_r2_1024,434,977,7.63031470585459
CHEMBL1980,maccs_keys,434,136,4.78078083575908
CHEMBL1981,embed,541,16,2.8071739266028404
CHEMBL1981,mfp_r2_1024,541,994,7.387643517838407
CHEMBL1981,maccs_keys,541,139,5.743501650184443
CHEMBL1983,embed,809,16,2.7666489601088875
CHEMBL1983,mfp_r2_1024,809,987,8.366010867019993
CHEMBL1983,maccs_keys,809,141,5.912620228762589
CHEMBL1985,embed,705,16,2.3945023730679846
CHEMBL1985,mfp_r2_1024,705,928,7.104476787916442
CHEMBL1985,maccs_keys,705,140,5.009878079569361
CHEMBL1991,embed,853,16,2.700675697543418
CHEMBL1991,mfp_r2_1024,853,988,7.1742289636287575
CHEMBL1991,maccs_keys,853,137,5.550453203221784
CHEMBL1994,embed,678,16,1.7891040477158258
CHEMBL1994,mfp_r2_1024,678,998,6.230490169437459
CHEMBL1994,maccs_keys,678,142,5.186930493894296
CHEMBL1995,embed,236,16,2.1274437454650723
CHEMBL1995,mfp_r2_1024,236,816,7.241578129194909
CHEMBL1995,maccs_keys,236,137,4.777258117167626
CHEMBL2000,embed,518,16,2.393040930124424
CHEMBL2000,mfp_r2_1024,518,989,7.032720125064012
CHEMBL2000,maccs_keys,518,140,5.248472947033832
CHEMBL2001,embed,677,16,2.3588560267082044
CHEMBL2001,mfp_r2_1024,677,940,5.483811824418515
CHEMBL2001,maccs_keys,677,142,3.740612634168832
CHEMBL2002,embed,477,16,2.728718966681103
CHEMBL2002,mfp_r2_1024,477,920,6.721667450819646
CHEMBL2002,maccs_keys,477,142,4.570115232803108
CHEMBL2003,embed,172,16,2.578018822247134
CHEMBL2003,mfp_r2_1024,172,675,7.764375437821682
CHEMBL2003,maccs_keys,172,127,4.517399054834925
CHEMBL2007,embed,495,16,3.582647186024785
CHEMBL2007,mfp_r2_1024,495,997,8.510495834254895
CHEMBL2007,maccs_keys,495,141,6.645853995453847
CHEMBL2008,embed,169,16,3.1851264872642635
CHEMBL2008,mfp_r2_1024,169,642,7.54747331608096
CHEMBL2008,maccs_keys,169,124,5.121538603409213
CHEMBL2014,embed,916,16,1.852123743222141
CHEMBL2014,mfp_r2_1024,916,995,5.821705826735925
CHEMBL2014,maccs_keys,916,137,5.715915271025017
CHEMBL2026,embed,215,16,2.6467786905921216
CHEMBL2026,mfp_r2_1024,215,838,7.855035350808846
CHEMBL2026,maccs_keys,215,143,4.531724863140992
CHEMBL2028,embed,305,16,2.5392143763132125
CHEMBL2028,mfp_r2_1024,305,840,4.851915450169575
CHEMBL2028,maccs_keys,305,127,4.476466778653781
CHEMBL2034,embed,1768,16,1.7277959286485045
CHEMBL2034,mfp_r2_1024,1768,1021,6.963062043015928
CHEMBL2034,maccs_keys,1768,146,5.511608165643871
CHEMBL2035,embed,613,16,2.572718359698626
CHEMBL2035,mfp_r2_1024,613,986,7.264487543826732
CHEMBL2035,maccs_keys,613,150,5.433294534205152
CHEMBL2039,embed,2502,16,3.418414991329539
CHEMBL2039,mfp_r2_1024,2502,1022,8.61720563192851
CHEMBL2039,maccs_keys,2502,142,6.546655700055823
CHEMBL2041,embed,525,16,3.597458748197337
CHEMBL2041,mfp_r2_1024,525,1003,9.01382015679703
CHEMBL2041,maccs_keys,525,140,7.34339761909792
CHEMBL2047,embed,802,16,1.633577476740754
CHEMBL2047,mfp_r2_1024,802,1000,6.895639082603526
CHEMBL2047,maccs_keys,802,148,4.8404876686718445
CHEMBL2049,embed,464,16,1.8570274324523608
CHEMBL2049,mfp_r2_1024,464,960,4.969260044494294
CHEMBL2049,maccs_keys,464,138,4.796155839913366
CHEMBL2051,embed,375,16,2.3970980482775626
CHEMBL2051,mfp_r2_1024,375,863,6.618461240473483
CHEMBL2051,maccs_keys,375,142,4.58492148320426
CHEMBL2055,embed,138,16,3.1030782609455145
CHEMBL2055,mfp_r2_1024,138,616,7.449014594226652
CHEMBL2055,maccs_keys,138,123,5.117290851170204
CHEMBL2056,embed,886,16,2.4665612979416207
CHEMBL2056,mfp_r2_1024,886,1003,8.24325914823328
CHEMBL2056,maccs_keys,886,146,6.190678584085306
CHEMBL2061,embed,416,16,1.658795834254922
CHEMBL2061,mfp_r2_1024,416,917,7.450404275973555
CHEMBL2061,maccs_keys,416,136,4.858946778525721
CHEMBL2065,embed,131,16,2.3308196454726104
CHEMBL2065,mfp_r2_1024,131,629,7.22970027300069
CHEMBL2065,maccs_keys,131,132,3.626684946023577
CHEMBL2068,embed,159,16,2.4272874355729823
CHEMBL2068,mfp_r2_1024,159,882,8.61045281327127
CHEMBL2068,maccs_keys,159,131,6.514622241199106
CHEMBL2069,embed,633,16,2.725827156326428
CHEMBL2069,mfp_r2_1024,633,971,7.331146249665208
CHEMBL2069,maccs_keys,633,141,4.776971627404169
CHEMBL2107,embed,448,16,1.8229596353433848
CHEMBL2107,mfp_r2_1024,448,920,6.0691863991484825
CHEMBL2107,maccs_keys,448,142,4.708222917910862
CHEMBL2127,embed,296,16,2.678179534151829
CHEMBL2127,mfp_r2_1024,296,660,7.552357915860512
CHEMBL2127,maccs_keys,296,121,4.248598136968204
CHEMBL2147,embed,2627,16,3.5956428776967257
CHEMBL2147,mfp_r2_1024,2627,1023,8.647807191421279
CHEMBL2147,maccs_keys,2627,146,7.256398646394746
CHEMBL2148,embed,2533,16,2.852389609566973
CHEMBL2148,mfp_r2_1024,2533,1024,8.563982756078346
CHEMBL2148,maccs_keys,2533,146,7.017515703038854
CHEMBL2179,embed,222,16,1.932409526198758
CHEMBL2179,mfp_r2_1024,222,734,7.064407566609804
CHEMBL2179,maccs_keys,222,132,4.329883470921914
CHEMBL2181,embed,91,16,2.7277849020473126
CHEMBL2181,mfp_r2_1024,91,548,5.343586484878983
CHEMBL2181,maccs_keys,91,113,3.2163219225918995
CHEMBL2185,embed,1758,16,3.6180028241859383
CHEMBL2185,mfp_r2_1024,1758,1023,8.65884560212961
CHEMBL2185,maccs_keys,1758,145,7.688126899631238
CHEMBL2186,embed,109,16,2.38476625675459
CHEMBL2186,mfp_r2_1024,109,570,7.367479719151423
CHEMBL2186,maccs_keys,109,138,4.282476084582777
CHEMBL2188,embed,82,16,2.3270587093303043
CHEMBL2188,mfp_r2_1024,82,514,3.9952069291680488
CHEMBL2188,maccs_keys,82,107,2.181946472557596
CHEMBL2208,embed,760,16,3.4254851724467046
CHEMBL2208,mfp_r2_1024,760,996,7.774054664869076
CHEMBL2208,maccs_keys,760,145,6.2373646978748525
CHEMBL2243,embed,1056,16,2.5795126915610163
CHEMBL2243,mfp_r2_1024,1056,981,8.21748436113841
CHEMBL2243,maccs_keys,1056,145,5.759255303072372
CHEMBL2250,embed,248,16,2.415824304661405
CHEMBL2250,mfp_r2_1024,248,938,8.478220017862467
CHEMBL2250,maccs_keys,248,134,6.398855563312677
CHEMBL2276,embed,908,16,2.7014879025295926
CHEMBL2276,mfp_r2_1024,908,1016,8.536308931035594
CHEMBL2276,maccs_keys,908,140,6.334748629283044
CHEMBL2288,embed,141,16,2.599020066224512
CHEMBL2288,mfp_r2_1024,141,627,5.018292315034016
CHEMBL2288,maccs_keys,141,133,4.359273172884395
CHEMBL2292,embed,711,16,3.4942239071044505
CHEMBL2292,mfp_r2_1024,711,1008,9.701110933543962
CHEMBL2292,maccs_keys,711,144,7.379907210625259
CHEMBL2323,embed,93,16,1.7933403198130222
CHEMBL2323,mfp_r2_1024,93,410,5.358752742379608
CHEMBL2323,maccs_keys,93,97,4.178246175303619
CHEMBL2326,embed,928,16,2.472533497286018
CHEMBL2326,mfp_r2_1024,928,977,8.281462534485172
CHEMBL2326,maccs_keys,928,149,5.162611370252419
CHEMBL2327,embed,661,16,1.9485392094176568
CHEMBL2327,mfp_r2_1024,661,992,6.465114595244359
CHEMBL2327,maccs_keys,661,146,5.296752598400803
CHEMBL2329,embed,115,16,2.520032303162504
CHEMBL2329,mfp_r2_1024,115,464,7.32308530571719
CHEMBL2329,maccs_keys,115,107,4.0335119908205055
CHEMBL2331,embed,186,16,1.7969629089852162
CHEMBL2331,mfp_r2_1024,186,601,6.965644653473631
CHEMBL2331,maccs_keys,186,129,4.539196129549056
CHEMBL2334,embed,1431,16,2.6752015711094868
CHEMBL2334,mfp_r2_1024,1431,1023,8.355683295309483
CHEMBL2334,maccs_keys,1431,148,5.968740366682844
CHEMBL2336,embed,187,16,2.5032468221528514
CHEMBL2336,mfp_r2_1024,187,685,6.449316603978264
CHEMBL2336,maccs_keys,187,125,4.71860521719192
CHEMBL2337,embed,743,16,1.8055197782127532
CHEMBL2337,mfp_r2_1024,743,941,7.403594073969778
CHEMBL2337,maccs_keys,743,130,4.841844202575459
CHEMBL2343,embed,86,16,2.494158269652736
CHEMBL2343,mfp_r2_1024,86,597,5.958798033405745
CHEMBL2343,maccs_keys,86,130,3.1949934489884853
CHEMBL2345,embed,579,16,3.590100017062734
CHEMBL2345,mfp_r2_1024,579,1009,8.591831340850673
CHEMBL2345,maccs_keys,579,145,6.889214730580856
CHEMBL2358,embed,158,16,1.856044019584025
CHEMBL2358,mfp_r2_1024,158,642,9.142505256615973
CHEMBL2358,maccs_keys,158,114,4.78129305006925
CHEMBL2361,embed,197,16,2.6049918027807712
CHEMBL2361,mfp_r2_1024,197,669,7.1065466775440775
CHEMBL2361,maccs_keys,197,112,4.242651049887227
CHEMBL2363,embed,767,16,3.1177173268395078
CHEMBL2363,mfp_r2_1024,767,924,8.45666985006129
CHEMBL2363,maccs_keys,767,129,6.19946905927206
CHEMBL2372,embed,92,16,2.818913593017732
CHEMBL2372,mfp_r2_1024,92,467,9.74924071379137
CHEMBL2372,maccs_keys,92,131,4.054939014810881
CHEMBL2373,embed,314,16,2.5266564138705765
CHEMBL2373,mfp_r2_1024,314,811,4.797133394279306
CHEMBL2373,maccs_keys,314,131,3.8175434336819194
CHEMBL2382,embed,135,16,2.2490022106495298
CHEMBL2382,mfp_r2_1024,135,509,6.11731225509587
CHEMBL2382,maccs_keys,135,117,4.022740868443317
CHEMBL2384,embed,83,16,2.6763909485907638
CHEMBL2384,mfp_r2_1024,83,435,8.129945819565313
CHEMBL2384,maccs_keys,83,94,3.59790493901069
CHEMBL2407,embed,90,16,2.2621781595873927
CHEMBL2407,mfp_r2_1024,90,557,5.21047754231755
CHEMBL2407,maccs_keys,90,129,3.091828964652213
CHEMBL2409,embed,1530,16,2.446333089829412
CHEMBL2409,mfp_r2_1024,1530,1008,8.820420054086906
CHEMBL2409,maccs_keys,1530,148,6.0199209613106
CHEMBL2413,embed,341,16,2.4161967152771244
CHEMBL2413,mfp_r2_1024,341,839,6.597435789063571
CHEMBL2413,maccs_keys,341,136,3.816049687653439
CHEMBL2414,embed,177,16,2.586707796260564
CHEMBL2414,mfp_r2_1024,177,685,5.767370552386708
CHEMBL2414,maccs_keys,177,122,3.933921167429337
CHEMBL2425,embed,518,16,3.0417030342226643
CHEMBL2425,mfp_r2_1024,518,852,8.38503305071725
CHEMBL2425,maccs_keys,518,130,5.7331691496285
CHEMBL2426,embed,196,16,3.245869918546089
CHEMBL2426,mfp_r2_1024,196,883,7.795349932935879
CHEMBL2426,maccs_keys,196,134,6.563777947951437
CHEMBL2431,embed,442,16,2.727906652585149
CHEMBL2431,mfp_r2_1024,442,970,6.828937768834812
CHEMBL2431,maccs_keys,442,141,5.745000454121254
CHEMBL2434,embed,627,16,3.18276866180436
CHEMBL2434,mfp_r2_1024,627,945,7.546287576059255
CHEMBL2434,maccs_keys,627,138,4.75454695940676
CHEMBL2468,embed,272,16,3.5409747684434154
CHEMBL2468,mfp_r2_1024,272,961,9.245390373398545
CHEMBL2468,maccs_keys,272,138,6.930925615125393
CHEMBL2487,embed,928,16,2.4501546038713715
CHEMBL2487,mfp_r2_1024,928,996,6.707478020189341
CHEMBL2487,maccs_keys,928,146,5.518851315019014
CHEMBL2488,embed,120,16,2.6986462225065444
CHEMBL2488,mfp_r2_1024,120,553,5.214734739072812
CHEMBL2488,maccs_keys,120,105,3.390591335417938
CHEMBL2490,embed,87,16,2.683715459036659
CHEMBL2490,mfp_r2_1024,87,434,6.967868533268962
CHEMBL2490,maccs_keys,87,86,5.439134153268354
CHEMBL2492,embed,595,16,1.894456874505591
CHEMBL2492,mfp_r2_1024,595,979,6.935777682910508
CHEMBL2492,maccs_keys,595,142,5.711740299459263
CHEMBL2496,embed,427,16,2.250212047463033
CHEMBL2496,mfp_r2_1024,427,875,7.244201660916958
CHEMBL2496,maccs_keys,427,135,4.426694297337187
CHEMBL2506,embed,96,16,1.8199484989368373
CHEMBL2506,mfp_r2_1024,96,466,6.099956174179583
CHEMBL2506,maccs_keys,96,91,2.911533402382061
CHEMBL2525,embed,625,16,2.6454695795169565
CHEMBL2525,mfp_r2_1024,625,959,6.48454400989679
CHEMBL2525,maccs_keys,625,135,4.171371248788169
CHEMBL2526,embed,95,16,2.272903264326223
CHEMBL2526,mfp_r2_1024,95,428,6.85427066861827
CHEMBL2526,maccs_keys,95,92,5.122293681805024
CHEMBL2527,embed,469,16,3.4159904789949738
CHEMBL2527,mfp_r2_1024,469,977,8.448036174064022
CHEMBL2527,maccs_keys,469,136,5.908062371182012
CHEMBL2534,embed,607,16,3.58544915506864
CHEMBL2534,mfp_r2_1024,607,984,6.942054513446015
CHEMBL2534,maccs_keys,607,140,5.707143031645965
CHEMBL2536,embed,110,16,2.5242186354455267
CHEMBL2536,mfp_r2_1024,110,459,7.904493969566027
CHEMBL2536,maccs_keys,110,97,3.7181520874083542
CHEMBL2543,embed,251,16,3.29489435399271
CHEMBL2543,mfp_r2_1024,251,910,7.853232942426989
CHEMBL2543,maccs_keys,251,137,6.599505628951047
CHEMBL2564,embed,1210,16,3.2029705155583743
CHEMBL2564,mfp_r2_1024,1210,994,8.165398160101493
CHEMBL2564,maccs_keys,1210,140,5.629036518572306
CHEMBL2569,embed,146,16,2.205573957296546
CHEMBL2569,mfp_r2_1024,146,461,6.12503634289958
CHEMBL2569,maccs_keys,146,108,4.401615742402788
CHEMBL2575,embed,162,16,1.8490645695613552
CHEMBL2575,mfp_r2_1024,162,566,7.089464946332178
CHEMBL2575,maccs_keys,162,140,4.759439932694806
CHEMBL2577,embed,81,16,1.6602435239877882
CHEMBL2577,mfp_r2_1024,81,455,6.77616920902062
CHEMBL2577,maccs_keys,81,105,3.8476402597041575
CHEMBL2581,embed,1486,16,2.546327990648801
CHEMBL2581,mfp_r2_1024,1486,1019,6.39763381742147
CHEMBL2581,maccs_keys,1486,148,4.864620855539282
CHEMBL2590,embed,415,16,1.997271802840255
CHEMBL2590,mfp_r2_1024,415,695,6.9958035311275975
CHEMBL2590,maccs_keys,415,133,5.0483909319011895
CHEMBL2593,embed,277,16,2.415238391675344
CHEMBL2593,mfp_r2_1024,277,748,7.183391614707036
CHEMBL2593,maccs_keys,277,127,3.5796230625234244
CHEMBL2598,embed,225,16,2.7859277082935554
CHEMBL2598,mfp_r2_1024,225,771,7.070957579633248
CHEMBL2598,maccs_keys,225,126,4.658255362033172
CHEMBL2599,embed,2549,16,3.743524945899337
CHEMBL2599,mfp_r2_1024,2549,1022,8.197360747631508
CHEMBL2599,maccs_keys,2549,144,6.799842576220703
CHEMBL2617,embed,176,16,2.486719098714452
CHEMBL2617,mfp_r2_1024,176,670,6.25784752339211
CHEMBL2617,maccs_keys,176,121,3.955611387832978
CHEMBL2622,embed,482,16,2.56531137154196
CHEMBL2622,mfp_r2_1024,482,941,7.576609103376679
CHEMBL2622,maccs_keys,482,139,4.923219486091599
CHEMBL2625,embed,234,16,2.524867492018025
CHEMBL2625,mfp_r2_1024,234,733,6.867886250486704
CHEMBL2625,maccs_keys,234,135,4.9771842047108965
CHEMBL2626,embed,135,16,1.8301024551116385
CHEMBL2626,mfp_r2_1024,135,472,5.495879202529718
CHEMBL2626,maccs_keys,135,125,3.1189310051859627
CHEMBL2632,embed,124,16,2.8579277067070192
CHEMBL2632,mfp_r2_1024,124,346,7.105819105580911
CHEMBL2632,maccs_keys,124,100,3.281457570486942
CHEMBL2635,embed,436,16,2.579314187065734
CHEMBL2635,mfp_r2_1024,436,991,9.076398425682232
CHEMBL2635,maccs_keys,436,147,5.915719326969619
CHEMBL2637,embed,781,16,2.7920413092432548
CHEMBL2637,mfp_r2_1024,781,1011,8.993534187758822
CHEMBL2637,maccs_keys,781,143,6.861272415452787
CHEMBL2652,embed,326,16,2.3819099456458663
CHEMBL2652,mfp_r2_1024,326,793,6.915616967183856
CHEMBL2652,maccs_keys,326,124,5.0115239775929945
CHEMBL2693,embed,135,16,2.3937320912811697
CHEMBL2693,mfp_r2_1024,135,492,5.661501425949809
CHEMBL2693,maccs_keys,135,120,3.568878197447844
CHEMBL2695,embed,969,16,2.826635472482435
CHEMBL2695,mfp_r2_1024,969,1006,7.998131033931687
CHEMBL2695,maccs_keys,969,145,5.952912859938508
CHEMBL2714,embed,105,16,2.054742024266057
CHEMBL2714,mfp_r2_1024,105,532,5.724419173603273
CHEMBL2714,maccs_keys,105,123,3.9084902744971326
CHEMBL2722,embed,896,16,2.796862802051297
CHEMBL2722,mfp_r2_1024,896,969,8.121986640162982
CHEMBL2722,maccs_keys,896,137,5.500761097358926
CHEMBL2725,embed,132,16,2.735457938807465
CHEMBL2725,mfp_r2_1024,132,707,8.5852479256864
CHEMBL2725,maccs_keys,132,144,4.148715186760592
CHEMBL2734,embed,86,16,2.6341060445215225
CHEMBL2734,mfp_r2_1024,86,395,7.641249069947376
CHEMBL2734,maccs_keys,86,83,3.0640726686883197
CHEMBL2736,embed,511,16,3.05157190942298
CHEMBL2736,mfp_r2_1024,511,918,8.253956858732282
CHEMBL2736,maccs_keys,511,141,4.670795183017077
CHEMBL2738,embed,88,16,2.3379002595877374
CHEMBL2738,mfp_r2_1024,88,367,6.978280606992468
CHEMBL2738,maccs_keys,88,119,4.025311055164062
CHEMBL2742,embed,1096,16,3.361327783690226
CHEMBL2742,mfp_r2_1024,1096,1008,7.491810237106436
CHEMBL2742,maccs_keys,1096,140,5.525074231076017
CHEMBL2756,embed,272,16,2.7126603002040404
CHEMBL2756,mfp_r2_1024,272,726,6.484410638179265
CHEMBL2756,maccs_keys,272,128,4.999086691979129
CHEMBL2759,embed,96,16,1.4245087981900555
CHEMBL2759,mfp_r2_1024,96,406,7.3175686194984655
CHEMBL2759,maccs_keys,96,122,2.922693542020298
CHEMBL2782,embed,261,16,1.9378526945372136
CHEMBL2782,mfp_r2_1024,261,886,5.453988350176736
CHEMBL2782,maccs_keys,261,143,4.222971846377643
CHEMBL2787,embed,153,16,2.3869233789685342
CHEMBL2787,mfp_r2_1024,153,708,5.815941129088648
CHEMBL2787,maccs_keys,153,142,3.6330846061659927
CHEMBL2789,embed,202,16,2.2387258784265
CHEMBL2789,mfp_r2_1024,202,670,6.887524280989867
CHEMBL2789,maccs_keys,202,124,4.363371614035594
CHEMBL2793,embed,345,16,3.460143532361344
CHEMBL2793,mfp_r2_1024,345,978,8.815670129788131
CHEMBL2793,maccs_keys,345,140,7.121999177455867
CHEMBL2801,embed,323,16,2.7887122111229457
CHEMBL2801,mfp_r2_1024,323,949,8.274862374913496
CHEMBL2801,maccs_keys,323,138,6.427672275098148
CHEMBL2802,embed,169,16,1.2810454602697314
CHEMBL2802,mfp_r2_1024,169,371,5.57717932763922
CHEMBL2802,maccs_keys,169,102,3.5987318489540745
CHEMBL2803,embed,182,16,2.9410719008490958
CHEMBL2803,mfp_r2_1024,182,753,5.39115505751567
CHEMBL2803,maccs_keys,182,127,4.194078855335263
CHEMBL2808,embed,523,16,2.4259606445126605
CHEMBL2808,mfp_r2_1024,523,935,7.114947783217909
CHEMBL2808,maccs_keys,523,136,4.997667624975252
CHEMBL2815,embed,1745,16,2.751844506069252
CHEMBL2815,mfp_r2_1024,1745,1021,8.277670701376215
CHEMBL2815,maccs_keys,1745,142,6.905749240683436
CHEMBL2820,embed,528,16,2.5692293110344675
CHEMBL2820,mfp_r2_1024,528,968,6.557193873907481
CHEMBL2820,maccs_keys,528,143,5.012690126815106
CHEMBL2828,embed,469,16,3.3252037171876463
CHEMBL2828,mfp_r2_1024,469,986,9.07570458526556
CHEMBL2828,maccs_keys,469,139,7.03667269570388
CHEMBL2830,embed,154,16,1.7052878182090183
CHEMBL2830,mfp_r2_1024,154,667,6.312112164853533
CHEMBL2830,maccs_keys,154,134,2.469051650068247
CHEMBL2835,embed,2379,16,2.743915555217154
CHEMBL2835,mfp_r2_1024,2379,1024,6.999213749365074
CHEMBL2835,maccs_keys,2379,146,6.243680765464559
CHEMBL2842,embed,2921,16,2.6295127776682707
CHEMBL2842,mfp_r2_1024,2921,1023,7.648154745223061
CHEMBL2842,maccs_keys,2921,142,6.076853377868341
CHEMBL2850,embed,446,16,3.524087743640428
CHEMBL2850,mfp_r2_1024,446,983,9.20677251418985
CHEMBL2850,maccs_keys,446,142,6.700298327754592
CHEMBL2851,embed,385,16,2.741963524992445
CHEMBL2851,mfp_r2_1024,385,867,6.613661970850246
CHEMBL2851,maccs_keys,385,140,4.074048036144412
CHEMBL2854,embed,381,16,2.4261285210573043
CHEMBL2854,mfp_r2_1024,381,878,6.227858074106835
CHEMBL2854,maccs_keys,381,136,4.932346500577926
CHEMBL2857,embed,406,16,2.459969931627994
CHEMBL2857,mfp_r2_1024,406,916,6.4423776016387375
CHEMBL2857,maccs_keys,406,141,5.263899512788391
CHEMBL2858,embed,332,16,1.733437663349508
CHEMBL2858,mfp_r2_1024,332,880,6.017635491199482
CHEMBL2858,maccs_keys,332,138,5.249283142384503
CHEMBL2868,embed,298,16,1.7329904183123797
CHEMBL2868,mfp_r2_1024,298,803,4.43008507098285
CHEMBL2868,maccs_keys,298,135,4.174594414806031
CHEMBL2871,embed,743,16,2.482926325601053
CHEMBL2871,mfp_r2_1024,743,977,7.043787696354634
CHEMBL2871,maccs_keys,743,143,5.457034403262977
CHEMBL2882,embed,113,16,1.8704286543317368
CHEMBL2882,mfp_r2_1024,113,564,6.1137388488049
CHEMBL2882,maccs_keys,113,135,4.474320221685424
CHEMBL2885,embed,199,16,2.454044336553543
CHEMBL2885,mfp_r2_1024,199,726,7.760681837048094
CHEMBL2885,maccs_keys,199,134,3.943891296661629
CHEMBL2889,embed,171,16,2.6490895135589434
CHEMBL2889,mfp_r2_1024,171,738,5.8033227885600684
CHEMBL2889,maccs_keys,171,138,4.095019032628022
CHEMBL2902,embed,222,16,1.684255949410494
CHEMBL2902,mfp_r2_1024,222,661,7.2990836895393665
CHEMBL2902,maccs_keys,222,125,4.385503354312097
CHEMBL2903,embed,257,16,2.530373514165082
CHEMBL2903,mfp_r2_1024,257,852,7.297309942439622
CHEMBL2903,maccs_keys,257,144,4.418256376193225
CHEMBL2916,embed,396,16,1.7623028526902196
CHEMBL2916,mfp_r2_1024,396,907,6.986261821944344
CHEMBL2916,maccs_keys,396,143,5.131738682172284
CHEMBL2938,embed,287,16,2.5602815989248104
CHEMBL2938,mfp_r2_1024,287,954,6.970518809405769
CHEMBL2938,maccs_keys,287,141,5.463080683970842
CHEMBL2939,embed,150,16,3.599837779550103
CHEMBL2939,mfp_r2_1024,150,832,6.955569223088103
CHEMBL2939,maccs_keys,150,127,6.440423689236476
CHEMBL2949,embed,945,16,3.2493834197494325
CHEMBL2949,mfp_r2_1024,945,1006,7.780583170294529
CHEMBL2949,maccs_keys,945,146,6.099423195552086
CHEMBL2954,embed,1778,16,1.82244470259557
CHEMBL2954,mfp_r2_1024,1778,1013,7.123457196911278
CHEMBL2954,maccs_keys,1778,142,5.887622780107981
CHEMBL2955,embed,201,16,2.3818438597438742
CHEMBL2955,mfp_r2_1024,201,868,6.344618293931157
CHEMBL2955,maccs_keys,201,144,4.647839597483193
CHEMBL2959,embed,636,16,3.472541864596349
CHEMBL2959,mfp_r2_1024,636,979,8.085546615922809
CHEMBL2959,maccs_keys,636,127,5.598603150068852
CHEMBL2966,embed,209,16,2.416832643005369
CHEMBL2966,mfp_r2_1024,209,682,6.676056572500464
CHEMBL2966,maccs_keys,209,118,4.492190174073061
CHEMBL2967,embed,181,16,2.421591380830564
CHEMBL2967,mfp_r2_1024,181,652,6.565127336447092
CHEMBL2967,maccs_keys,181,124,4.215892145079121
CHEMBL2971,embed,3271,16,2.793257488285008
CHEMBL2971,mfp_r2_1024,3271,1024,8.549386449567173
CHEMBL2971,maccs_keys,3271,153,7.084407304819905
CHEMBL2973,embed,1679,16,3.555624157725324
CHEMBL2973,mfp_r2_1024,1679,1022,8.935426427228661
CHEMBL2973,maccs_keys,1679,142,7.34851578435711
CHEMBL2993,embed,728,16,2.4766594482216893
CHEMBL2993,mfp_r2_1024,728,927,7.796591828751174
CHEMBL2993,maccs_keys,728,141,5.279544783543055
CHEMBL2996,embed,600,16,2.7437447061474005
CHEMBL2996,mfp_r2_1024,600,1005,7.18730260496792
CHEMBL2996,maccs_keys,600,142,5.710540897120636
CHEMBL2998,embed,733,16,2.485532228897107
CHEMBL2998,mfp_r2_1024,733,899,7.684649329968081
CHEMBL2998,maccs_keys,733,138,5.378725039356709
CHEMBL3004,embed,265,16,2.46050063501385
CHEMBL3004,mfp_r2_1024,265,874,6.59774142592902
CHEMBL3004,maccs_keys,265,137,4.434743788473594
CHEMBL3009,embed,136,16,2.70850620857821
CHEMBL3009,mfp_r2_1024,136,829,8.295656589219375
CHEMBL3009,maccs_keys,136,129,6.23763339420392
CHEMBL3012,embed,531,16,1.8501064770958124
CHEMBL3012,mfp_r2_1024,531,929,7.267826851330377
CHEMBL3012,maccs_keys,531,137,5.06506686546265
CHEMBL3024,embed,614,16,2.6889638727515632
CHEMBL3024,mfp_r2_1024,614,998,7.289303946952033
CHEMBL3024,maccs_keys,614,145,5.994778966308102
CHEMBL3032,embed,282,16,3.388033027207957
CHEMBL3032,mfp_r2_1024,282,942,8.333530942471397
